Combined_Key,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
"Flemish Brabant, Belgium",2022-02-01 04:21:11,288657,0,,25184.374113900587,0.0
"Hainaut, Belgium",2022-02-01 04:21:11,370335,0,,27549.747403925343,0.0
"Liege, Belgium",2022-02-01 04:21:11,313271,0,,28299.30116929481,0.0
"Limburg, Belgium",2022-02-01 04:21:11,215656,0,,24673.244490005127,0.0
"Luxembourg, Belgium",2022-02-01 04:21:11,80354,0,,28230.243326611344,0.0
"Namur, Belgium",2022-02-01 04:21:11,142739,0,,28875.537348910133,0.0
"Unknown, Belgium",2022-02-01 04:21:11,47472,29052,,,61.19817997977756
"Walloon Brabant, Belgium",2022-02-01 04:21:11,120797,0,,29929.95522783753,0.0
"West Flanders, Belgium",2022-02-01 04:21:11,329845,0,,27583.718293086786,0.0
Belize,2022-02-01 04:21:11,50487,625,,12697.266995455471,1.2379424406282806
Benin,2022-02-01 04:21:11,26450,163,,218.17675501134275,0.6162570888468809
Bhutan,2022-02-01 04:21:11,4891,4,,633.867798841905,0.0817828664894704
Bolivia,2022-02-01 04:21:11,855705,20951,,7330.616586320483,2.448390508411193
Bosnia and Herzegovina,2022-02-01 04:21:11,347467,14447,,10590.874523555884,4.157804913847934
Botswana,2022-02-01 04:21:11,253036,2581,,10760.048902354754,1.0200129625823993
"Acre, Brazil",2022-02-01 04:21:11,101260,1871,,11481.571771162276,1.84771874382777
"Alagoas, Brazil",2022-02-01 04:21:11,258240,6441,,7737.859629641061,2.494191449814126
"Amapa, Brazil",2022-02-01 04:21:11,151958,2051,,17967.65165283051,1.3497150528435489
"Amazonas, Brazil",2022-02-01 04:21:11,529876,13950,,12784.741194379092,2.632691422144049
"Bahia, Brazil",2022-02-01 04:21:11,1363312,27944,,9166.315696617725,2.0497142253570715
"Ceara, Brazil",2022-02-01 04:21:11,1124676,25245,,12315.66353244026,2.244646458179956
"Distrito Federal, Brazil",2022-02-01 04:21:11,606765,11174,,20123.08690305472,1.841569635690918
"Espirito Santo, Brazil",2022-02-01 04:21:11,848235,13524,,21107.461460938368,1.5943694848715273
"Goias, Brazil",2022-02-01 04:21:11,1037046,25037,,14776.199661630064,2.4142612767418226
"Maranhao, Brazil",2022-02-01 04:21:11,386567,10488,,5463.704744797342,2.7131131213993958
"Mato Grosso, Brazil",2022-02-01 04:21:11,629323,14304,,18060.816205409952,2.272918676101144
"Mato Grosso do Sul, Brazil",2022-02-01 04:21:11,423244,9878,,15230.159489828304,2.3338783302303163
"Minas Gerais, Brazil",2022-02-01 04:21:11,2713581,57314,,12818.781195392785,2.112116793270589
"Para, Brazil",2022-02-01 04:21:11,650512,17355,,7561.573964022451,2.667898516860565
"Paraiba, Brazil",2022-02-01 04:21:11,498923,9716,,12416.805143291887,1.9473946881582929
"Parana, Brazil",2022-02-01 04:21:11,1973247,41242,,17257.77873749219,2.090057656238677
"Pernambuco, Brazil",2022-02-01 04:21:11,698267,20643,,7306.286622752933,2.9563190011843608
